Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY
513.000,205.6295,435729.6242,296130.6568,18.09294664,50.52871033
514.000,205.6354,435728.6243,296130.6472,18.09293253,50.52871014
515.000,205.6364,435727.6246,296130.6242,18.09291842,50.52870982
516.000,205.6478,435726.6249,296130.5993,18.09290432,50.52870949
517.000,205.6193,435725.6253,296130.5696,18.09289022,50.52870911
518.000,205.5869,435724.6259,296130.5372,18.09287612,50.52870871
519.000,205.6147,435723.6266,296130.4992,18.09286203,50.52870826
520.000,205.6205,435722.6274,296130.4592,18.09284794,50.52870779
521.000,205.6101,435721.6283,296130.4158,18.09283385,50.52870729
522.000,205.6405,435720.6294,296130.3692,18.09281976,50.52870676
523.000,205.6228,435719.6307,296130.3182,18.09280567,50.52870619
524.000,205.579,435718.6322,296130.2632,18.09279159,50.52870559
525.000,205.5869,435717.634,296130.2037,18.09277752,50.52870494
526.000,205.5969,435716.6358,296130.1435,18.09276344,50.52870429
527.000,205.586,435715.6377,296130.0826,18.09274937,50.52870363
528.000,205.58,435714.6397,296130.0188,18.0927353,50.52870295
529.000,205.5929,435713.6419,296129.9528,18.09272123,50.52870225
530.000,205.5775,435712.6445,296129.8813,18.09270717,50.52870149
531.000,205.58,435711.6473,296129.8066,18.09269311,50.52870071
532.000,205.5749,435710.6503,296129.7285,18.09267905,50.5286999
533.000,205.5493,435709.6535,296129.6489,18.092665,50.52869907
534.000,205.5913,435708.6566,296129.5698,18.09265095,50.52869825
535.000,205.549,435707.6598,296129.4908,18.09263689,50.52869743
536.000,205.5666,435706.6635,296129.4042,18.09262285,50.52869654
537.000,205.5582,435705.6674,296129.3157,18.09260881,50.52869564
538.000,205.5506,435704.6718,296129.2228,18.09259477,50.52869469
539.000,205.5428,435703.6762,296129.1291,18.09258074,50.52869374
540.000,205.5195,435702.6809,296129.0323,18.09256671,50.52869276
541.000,205.5318,435701.6856,296128.9352,18.09255269,50.52869178
542.000,205.5281,435700.6908,296128.8328,18.09253867,50.52869075
543.000,205.5249,435699.6962,296128.73,18.09252465,50.52868971
544.000,205.5105,435698.7025,296128.6171,18.09251065,50.52868859
545.000,205.5224,435697.7089,296128.5044,18.09249664,50.52868747
546.000,205.5347,435696.715,296128.3945,18.09248264,50.52868637
547.000,205.5265,435695.7212,296128.2835,18.09246863,50.52868526
548.000,205.5241,435694.7281,296128.166,18.09245464,50.52868409
549.000,205.5243,435693.735,296128.0488,18.09244065,50.52868293
550.000,205.5154,435692.7418,296127.9325,18.09242665,50.52868177
551.000,205.5003,435691.7486,296127.8161,18.09241266,50.52868062
552.000,205.5003,435690.7554,296127.6991,18.09239866,50.52867946
553.000,205.49,435689.7623,296127.5819,18.09238467,50.52867829
554.000,205.4865,435688.7693,296127.4642,18.09237067,50.52867713
555.000,205.5085,435687.7761,296127.3475,18.09235668,50.52867597
556.000,205.4899,435686.7827,296127.2325,18.09234268,50.52867482
