elapsed_sec,MotorRPM,Speed,Speed_kmh,Distance_km
428.223,0,0,0.0,0.025584340500000125
428.518,0,0,0.0,0.025584340500000125
428.636,0,0,0.0,0.025584340500000125
428.725,0,0,0.0,0.025584340500000125
428.827,0,0,0.0,0.025584340500000125
428.828,0,0,0.0,0.025584340500000125
428.839,0,0,0.0,0.025584340500000125
429.214,0,0,0.0,0.025584340500000125
429.417,0,0,0.0,0.025584340500000125
429.431,0,0,0.0,0.025584340500000125
429.506,0,0,0.0,0.025584340500000125
429.516,0,0,0.0,0.025584340500000125
429.624,0,0,0.0,0.025584340500000125
429.72,0,0,0.0,0.025584340500000125
429.842,0,0,0.0,0.025584340500000125
429.922,0,0,0.0,0.025584340500000125
430.116,0,0,0.0,0.025584340500000125
430.414,0,0,0.0,0.025584340500000125
430.517,0,0,0.0,0.025584340500000125
430.518,0,0,0.0,0.025584340500000125
430.521,0,0,0.0,0.025584340500000125
430.531,0,0,0.0,0.025584340500000125
430.629,0,0,0.0,0.025584340500000125
430.837,0,0,0.0,0.025584340500000125
430.918,0,0,0.0,0.025584340500000125
431.116,0,0,0.0,0.025584340500000125
431.414,0,0,0.0,0.025584340500000125
431.438,0,0,0.0,0.025584340500000125
431.476,0,0,0.0,0.025584340500000125
431.615,0,0,0.0,0.025584340500000125
431.617,0,0,0.0,0.025584340500000125
431.725,0,0,0.0,0.025584340500000125
431.827,0,0,0.0,0.025584340500000125
431.829,0,0,0.0,0.025584340500000125
431.831,0,0,0.0,0.025584340500000125
432.113,0,0,0.0,0.025584340500000125
432.496,0,0,0.0,0.025584340500000125
432.515,0,0,0.0,0.025584340500000125
432.517,0,0,0.0,0.025584340500000125
432.536,0,0,0.0,0.025584340500000125
432.538,0,0,0.0,0.025584340500000125
432.614,0,0,0.0,0.025584340500000125
432.737,0,0,0.0,0.025584340500000125
433.115,0,0,0.0,0.025584340500000125
433.496,0,0,0.0,0.025584340500000125
433.516,0,0,0.0,0.025584340500000125
433.517,0,0,0.0,0.025584340500000125
433.52,0,0,0.0,0.025584340500000125
433.617,0,0,0.0,0.025584340500000125
433.719,0,0,0.0,0.025584340500000125
433.818,0,0,0.0,0.025584340500000125
433.837,0,0,0.0,0.025584340500000125
434.121,0,0,0.0,0.025584340500000125
434.516,0,0,0.0,0.025584340500000125
434.516,0,0,0.0,0.025584340500000125
434.546,0,0,0.0,0.025584340500000125
434.717,0,0,0.0,0.025584340500000125
434.82,0,0,0.0,0.025584340500000125
434.82,0,0,0.0,0.025584340500000125
434.83,0,0,0.0,0.025584340500000125
