elapsed_sec,MotorRPM,Speed,Speed_kmh,Distance_km
288.037,0,0,0.0,0.001094263750000022
288.317,0,0,0.0,0.001094263750000022
288.515,0,0,0.0,0.001094263750000022
288.615,0,0,0.0,0.001094263750000022
288.618,0,0,0.0,0.001094263750000022
288.618,0,0,0.0,0.001094263750000022
288.72,0,0,0.0,0.001094263750000022
288.822,0,0,0.0,0.001094263750000022
289.02,0,0,0.0,0.001094263750000022
289.034,0,0,0.0,0.001094263750000022
289.307,0,0,0.0,0.001094263750000022
289.513,0,0,0.0,0.001094263750000022
289.615,0,0,0.0,0.001094263750000022
289.618,0,0,0.0,0.001094263750000022
289.624,0,0,0.0,0.001094263750000022
289.714,0,0,0.0,0.001094263750000022
289.822,0,0,0.0,0.001094263750000022
290.016,0,0,0.0,0.001094263750000022
290.036,0,0,0.0,0.001094263750000022
290.117,0,0,0.0,0.001094263750000022
290.413,0,0,0.0,0.001094263750000022
290.618,0,0,0.0,0.001094263750000022
290.622,0,0,0.0,0.001094263750000022
290.713,0,0,0.0,0.001094263750000022
290.813,0,0,0.0,0.001094263750000022
290.816,0,0,0.0,0.001094263750000022
290.916,0,0,0.0,0.001094263750000022
291.016,0,0,0.0,0.001094263750000022
291.033,0,0,0.0,0.001094263750000022
291.416,0,0,0.0,0.001094263750000022
291.515,0,0,0.0,0.001094263750000022
291.712,0,0,0.0,0.001094263750000022
291.815,0,0,0.0,0.001094263750000022
291.825,0,0,0.0,0.001094263750000022
291.913,0,0,0.0,0.001094263750000022
291.915,0,0,0.0,0.001094263750000022
292.019,0,0,0.0,0.001094263750000022
292.033,0,0,0.0,0.001094263750000022
292.418,0,0,0.0,0.001094263750000022
292.615,0,0,0.0,0.001094263750000022
292.617,0,0,0.0,0.001094263750000022
292.715,0,0,0.0,0.001094263750000022
292.815,0,0,0.0,0.001094263750000022
292.913,0,0,0.0,0.001094263750000022
293.015,0,0,0.0,0.001094263750000022
293.015,0,0,0.0,0.001094263750000022
293.033,0,0,0.0,0.001094263750000022
293.519,0,0,0.0,0.001094263750000022
293.617,0,0,0.0,0.001094263750000022
293.714,0,0,0.0,0.001094263750000022
293.812,0,0,0.0,0.001094263750000022
293.912,0,0,0.0,0.001094263750000022
294.015,0,0,0.0,0.001094263750000022
294.019,0,0,0.0,0.001094263750000022
294.025,0,0,0.0,0.001094263750000022
294.036,0,0,0.0,0.001094263750000022
294.113,0,0,0.0,0.001094263750000022
294.317,0,0,0.0,0.001094263750000022
294.515,0,0,0.0,0.001094263750000022
294.623,0,0,0.0,0.001094263750000022
294.814,0,0,0.0,0.001094263750000022
294.912,0,0,0.0,0.001094263750000022
295.012,0,0,0.0,0.001094263750000022
295.037,0,0,0.0,0.001094263750000022
295.113,0,0,0.0,0.001094263750000022
295.307,0,0,0.0,0.001094263750000022
295.414,0,0,0.0,0.001094263750000022
295.62,0,0,0.0,0.001094263750000022
295.814,0,0,0.0,0.001094263750000022
295.814,0,0,0.0,0.001094263750000022
296.007,0,0,0.0,0.001094263750000022
296.012,0,0,0.0,0.001094263750000022
296.033,0,0,0.0,0.001094263750000022
296.115,0,0,0.0,0.001094263750000022
296.357,0,0,0.0,0.001094263750000022
296.418,0,0,0.0,0.001094263750000022
296.616,0,0,0.0,0.001094263750000022
296.623,0,0,0.0,0.001094263750000022
296.914,0,0,0.0,0.001094263750000022
297.007,0,0,0.0,0.001094263750000022
297.012,0,0,0.0,0.001094263750000022
297.014,0,0,0.0,0.001094263750000022
297.028,0,0,0.0,0.001094263750000022
297.414,0,0,0.0,0.001094263750000022
297.514,0,0,0.0,0.001094263750000022
297.514,0,0,0.0,0.001094263750000022
297.707,0,0,0.0,0.001094263750000022
297.714,0,0,0.0,0.001094263750000022
297.817,0,0,0.0,0.001094263750000022
297.917,0,0,0.0,0.001094263750000022
298.114,0,0,0.0,0.001094263750000022
298.411,0,0,0.0,0.001094263750000022
298.411,0,0,0.0,0.001094263750000022
298.428,0,0,0.0,0.001094263750000022
298.619,0,0,0.0,0.001094263750000022
298.707,0,0,0.0,0.001094263750000022
298.719,0,0,0.0,0.001094263750000022
298.92,0,0,0.0,0.001094263750000022
299.029,0,0,0.0,0.001094263750000022
299.114,0,0,0.0,0.001094263750000022
299.411,0,0,0.0,0.001094263750000022
299.612,0,0,0.0,0.001094263750000022
299.615,0,0,0.0,0.001094263750000022
299.615,0,0,0.0,0.001094263750000022
299.715,0,0,0.0,0.001094263750000022
299.907,0,0,0.0,0.001094263750000022
299.913,0,0,0.0,0.001094263750000022
300.013,0,0,0.0,0.001094263750000022
300.031,0,0,0.0,0.001094263750000022
300.114,0,0,0.0,0.001094263750000022
300.413,0,0,0.0,0.001094263750000022
300.517,0,0,0.0,0.001094263750000022
300.614,0,0,0.0,0.001094263750000022
300.711,0,0,0.0,0.001094263750000022
300.713,0,0,0.0,0.001094263750000022
